0,7503
5,7792
0,1029
0,5086
4,6592
0,6023
4,1261
5,2259
0,4593
0,5166
4,7958
3,0644
1,6312
5,6476
0,0089
4,0447
4,4432
0,9161
5,2166
4,7652
0,0824
2,1557
5,5929
5,5575
0,3658
0,1032
0,4864
5,4935
4,8889
5,9943
5,5502
0,9047
0,6939
0,9598
0,7341
0,6951
0,9288
0,5702
1,7184
0,2589
0,631
5,8884
0,3267
4,8809
5,0246
0,0795
0,3993
5,5477
0,3855
0,0626
1,5107
0,3276
0,0568
1,2259
5,1696
0,4508
4,3267
5,5585
2,7076
5,8716
5,6561
5,748
5,5222
0,5018
5,1277
0,3287
5,7005
1,1172
0,0467
3,1037
0,8339
0,5295
1,3368
5,3231
5,2016
1,6663
5,8866
2,2806
1,0222
5,2268
4,8967
5,2152
2,8175
5,8325
5,9647
0,9459
4,6667
4,8107
5,7567
5,5726
5,5092
5,6244
1,472
0,7928
5,5103
5,3308
5,0435
0,6705
0,7466
0,1232
