5,7872
3,5113
3,1321
3,6526
4,0936
3,0184
6,159
3,5721
8,9978
8,0104
7,5477
7,9415
8,3583
3,5598
8,6869
3,7346
8,7077
8,4944
8,1916
8,893
5,1137
3,1561
3,9339
4,0611
6,9665
3,0337
5,2081
3,643
3,1271
8,796
8,2636
3,3415
8,1412
3,2686
7,2145
6,8808
7,9705
8,4337
7,3387
3,4754
4,3493
8,1624
3,8698
8,1134
4,5227
7,9166
3,4477
7,6973
3,5977
8,2335
3,5397
3,5348
8,4289
4,1816
8,902
7,961
8,7721
3,4679
3,3788
8,4578
8,5094
4,623
3,6253
8,8703
8,8481
3,8897
8,9717
3,4224
8,9276
6,272
8,0646
8,3677
8,9923
3,5568
4,2405
8,9584
7,356
8,4279
5,4028
3,2471
4,2486
3,6274
8,6525
8,0937
4,3066
8,9886
3,9761
3,8294
3,9888
8,2575
7,3512
3,0985
3,1567
3,0601
3,2186
8,4835
3,7399
8,913
3,7654
8,8751
